PASSENGERS,ORIGIN_AIRPORT_ID,ORIGIN,MONTH
6233,11433,DTW,4
6234,10431,AVL,6
6234,13930,ORD,4
6234,12266,IAH,10
6235,12339,IND,2
6235,11298,DFW,10
6235,10800,BUR,4
6235,14747,SEA,5
6236,11995,GSO,10
6236,14679,SAN,10
6237,14771,SFO,9
6238,11066,CMH,7
6239,10821,BWI,1
6239,10713,BOI,1
6239,14683,SAT,3
6240,11423,DSM,7
6240,13851,OKC,3
6240,14107,PHX,5
6240,11057,CLT,6
6241,10693,BNA,10
6241,13486,MSO,9
6242,11066,CMH,7
6242,11292,DEN,1
6242,10821,BWI,1
6242,13232,MDW,6
6243,15016,STL,5
6243,13487,MSP,10
6243,11292,DEN,7
6244,14107,PHX,1
6245,12264,IAD,3
6245,13495,MSY,1
6245,12892,LAX,1
6245,14908,SNA,5
6246,13264,MFR,10
6247,10423,AUS,6
6247,12323,ILM,8
6247,12478,JFK,6
6247,10994,CHS,10
6247,14100,PHL,1
6248,11292,DEN,3
6248,13830,OGG,6
6248,14747,SEA,9
6248,14683,SAT,1
6248,10423,AUS,3
6248,13204,MCO,7
6249,12478,JFK,1
6249,14679,SAN,2
6249,12266,IAH,2
6249,11057,CLT,5
6249,14635,RSW,6
6249,13487,MSP,9
6249,15304,TPA,9
6249,14747,SEA,10
6249,12892,LAX,10
6250,13342,MKE,5
6250,13795,OAJ,6
6250,11986,GRR,7
6250,11618,EWR,8
6250,13851,OKC,8
6251,15016,STL,4
6251,16218,YUM,5
6251,10781,BTR,9
6252,11292,DEN,2
6252,15304,TPA,1
6252,12892,LAX,2
6253,14193,PNS,5
6253,14747,SEA,8
6253,10397,ATL,10
6253,12892,LAX,1
6253,13198,MCI,6
6254,13296,MHT,4
6254,14107,PHX,10
6254,12266,IAH,3
6254,15016,STL,9
6254,11898,GFK,7
6255,13198,MCI,5
6255,12758,KOA,4
6256,12953,LGA,3
6256,13232,MDW,5
6257,14100,PHL,6
6257,11278,DCA,7
6257,11298,DFW,1
6257,11292,DEN,7
6258,11292,DEN,7
6258,11433,DTW,10
6258,11540,ELP,9
6258,14683,SAT,5
6259,14570,RNO,1
6259,15016,STL,5
6259,11057,CLT,6
6260,11884,GEG,9
6260,12478,JFK,6
6260,14869,SLC,2
6260,11638,FAT,9
6260,13930,ORD,10
6260,11433,DTW,4
6260,12954,LGB,9
6261,10397,ATL,1
6261,14869,SLC,1
6262,15412,TYS,10
6262,13139,LYH,8
6262,11292,DEN,3
6263,10800,BUR,1
6263,14100,PHL,3
6263,14771,SFO,7
6263,10397,ATL,2
6263,12478,JFK,9
6264,11292,DEN,7
6265,14193,PNS,8
6265,14057,PDX,7
6265,11433,DTW,1
6265,15376,TUS,2
6265,12173,HNL,2
6266,13891,ONT,2
6267,12264,IAD,5
6267,13930,ORD,6
6267,13930,ORD,4
6267,15096,SYR,7
6267,14747,SEA,5
6267,13244,MEM,9
6269,13204,MCO,1
6269,14771,SFO,3
6270,14635,RSW,3
6270,10140,ABQ,3
6270,10529,BDL,7
6270,14679,SAN,2
6270,12278,ICT,2
6270,14524,RIC,2
6270,13930,ORD,6
6271,14524,RIC,4
6271,10397,ATL,3
6272,14492,RDU,2
6272,14321,PWM,10
6272,10693,BNA,6
6273,14193,PNS,10
6273,12191,HOU,9
6273,13204,MCO,1
6274,12892,LAX,6
6274,11278,DCA,4
6274,14576,ROC,3
6274,14831,SJC,10
6274,10693,BNA,7
6274,10721,BOS,2
6274,11697,FLL,2
6274,12478,JFK,7
6275,11298,DFW,9
6275,10529,BDL,5
6275,11067,CMI,3
6275,11298,DFW,10
6276,13796,OAK,4
6276,10397,ATL,4
6276,14747,SEA,6
6276,11298,DFW,9
6276,12889,LAS,2
6276,14747,SEA,3
6276,14747,SEA,5
6277,13303,MIA,2
6277,13232,MDW,2
6277,13204,MCO,9
6278,10257,ALB,9
6278,10821,BWI,9
6278,12264,IAD,1
6278,14747,SEA,8
6278,10279,AMA,3
6278,11618,EWR,8
6279,14262,PSP,10
6280,12217,HSV,3
6280,11996,GSP,5
6280,11433,DTW,2
6280,10693,BNA,7
6281,10721,BOS,1
6281,11193,CVG,8
6282,14843,SJU,3
6282,11884,GEG,9
6282,10397,ATL,2
6282,11292,DEN,3
6283,14869,SLC,10
6283,11292,DEN,4
6283,14027,PBI,5
6283,13930,ORD,4
6284,12478,JFK,9
6284,14122,PIT,10
6284,13204,MCO,10
6284,10874,CAK,9
6285,12191,HOU,4
6285,10423,AUS,7
6286,12953,LGA,10
6286,11292,DEN,1
6286,11298,DFW,8
6287,14747,SEA,9
6287,11433,DTW,8
6288,11292,DEN,6
6289,13930,ORD,10
6289,12945,LEX,7
6289,11423,DSM,5
6289,10423,AUS,10
6289,13198,MCI,8
6290,11618,EWR,5
6290,10994,CHS,7
6290,13930,ORD,5
6290,12953,LGA,10
6290,13930,ORD,6
6290,14683,SAT,5
6290,12441,JAC,9
6290,10423,AUS,10
6291,11057,CLT,10
6291,11298,DFW,1
6292,12945,LEX,10
